ship_type,total_fuel_mt,fuel_per_nm_kg,co2_per_nm_kg,hours_at_sea
Bulk carrier,1164.317,100.92,316.83,1103.4
Vehicle carrier,2236.21,91.27,287.48,2104.5
Bulk carrier,377.17,83.44,261.2,460.9
Oil tanker,3669.1,111.15,348.09,2989.8
Bulk carrier,1690.82,137.07,428.36,1195.76
Bulk carrier,1059.1,78.67,245.71,1343.0
Bulk carrier,901.16,73.42,230.95,1124.0
Chemical tanker,76.18,70.87,221.45,133.8
General cargo ship,1810.98,84.01,262.69,1709.79
General cargo ship,3167.9,78.35,245.7,3151.86
Bulk carrier,1189.87,81.59,256.38,1355.8
Gas carrier,187.84,46.75,147.01,375.8
Bulk carrier,1433.81,94.31,294.6,1537.68
Bulk carrier,888.51,60.07,187.71,1369.75
Bulk carrier,734.4,70.77,223.67,965.15
Bulk carrier,1306.978,73.47,229.11,1752.13
Container ship,8891.67078,111.95,328.16,6226.79
Container ship,8957.46444,109.33,337.2,6263.73
Container ship,7290.57917,114.9,343.07,5280.71
Container ship,5973.24725,103.81,305.37,4893.66
Container ship,6325.54265,106.14,327.22,5026.09
Chemical tanker,1618.29,61.42,196.35,2625.1
Container ship,19078.7,283.34,884.23,4358.2
Container ship,11892.42,271.95,851.89,2854.6
Container ship,17623.508,280.03,875.02,4186.08
Container ship,13057.503,275.72,862.48,3358.2
Container ship,18643.2,280.28,874.93,4483.2
Container ship,21797.2,292.83,912.93,4691.18
Chemical tanker,6842.54,80.05,250.25,7450.2
Other ship types,3607.14,79.59,254.81,5199.96
Container ship,28910.8,321.43,1001.77,5447.29
Container ship,28469.7,322.32,1004.48,5248.38
Container ship,23467.8,319.07,994.68,4439.0
Chemical tanker,1506.57,61.33,193.69,2478.86
Chemical tanker,1909.22,57.1,178.64,3090.18
Chemical tanker,1233.87,79.97,253.01,1533.1
Oil tanker,4089.8,178.67,558.95,2755.74
Oil tanker,6184.58,195.57,609.73,2667.6
Oil tanker,6222.014,167.17,522.07,3425.16
Oil tanker,1888.65,153.12,478.67,1218.04
Oil tanker,689.96,183.06,575.11,388.7
Oil tanker,2023.321,133.21,417.6,1354.8
Vehicle carrier,1905.16,72.18,225.07,2260.0
Container ship,5290.18,302.01,941.11,1028.5
Container ship,3832.96,297.38,926.77,763.5
Chemical tanker,1546.6,75.08,235.26,1602.92
Chemical tanker,2515.1,62.27,194.43,4387.3
Container ship,12027.76,253.41,793.11,3220.99
Container ship,12936.23,267.07,834.99,2953.3
Container ship,12455.62,254.12,794.64,3618.01
Container ship,13937.29,268.0,837.35,3225.68
Container ship,13374.39,261.69,818.64,3235.39
Bulk carrier,1549.78,66.28,207.58,2097.18
Bulk carrier,1073.64,68.26,213.52,1444.8
Vehicle carrier,610.66,109.15,340.6,333.0
Oil tanker,5726.137,194.65,613.86,2647.04
Oil tanker,8351.057,121.43,379.41,6195.22
Container ship,16256.17,291.7,908.96,3895.8
Container ship,3860.34,298.65,931.71,876.9
Container ship,7655.24,290.64,906.59,1606.8
Container ship,9179.21,229.28,715.28,2497.1
Oil tanker,221.7,99.77,310.7,191.0
Oil tanker,634.18,99.82,312.55,636.0
Bulk carrier,1336.42,170.77,532.09,715.78
Container ship,6347.64666,107.01,316.19,4998.3
Container ship,6111.86625,115.44,359.55,4822.18
Container ship,27429.97932,323.98,1007.38,5124.25
Container ship,26104.65116,335.51,1044.4,4910.32
Container ship,24214.7932,293.36,913.18,5445.35
Container ship,28493.757,317.12,982.76,5488.75
Container ship,25528.99567,293.04,912.06,5542.6
Container ship,27642.11935,313.83,976.56,5533.37
General cargo ship,1619.81,73.06,229.17,1746.4
General cargo ship,659.06,51.99,162.94,1083.7
LNG carrier,4001.28132,171.1,462.82,1683.48
Oil tanker,6644.08,145.17,454.29,4481.6
Oil tanker,7287.53,155.82,491.63,4899.94
Oil tanker,7585.91,127.94,400.58,5082.0
Oil tanker,1837.92,46.75,146.42,3241.0
Oil tanker,269.02,51.54,162.57,428.1
Oil tanker,4630.965,144.46,454.76,4545.38
Bulk carrier,765.5257,40.77,128.11,1500.82
Oil tanker,3156.95,125.05,393.38,2193.5
Oil tanker,1627.03,145.08,463.06,1319.2
Oil tanker,5116.54,128.2,400.19,3243.83
Oil tanker,1911.0,118.38,369.93,1388.1
Bulk carrier,226.85,71.63,225.0,279.3
Oil tanker,1708.6,124.52,389.3,1186.88
Container ship,26212.68307,311.07,967.76,5226.21
Container ship,22865.00821,295.79,920.46,4840.0
Container ship,28608.43628,317.36,987.78,5467.5
Container ship,28217.9158,313.77,976.28,5366.41
Container ship,24258.59126,313.35,974.88,4929.12
Chemical tanker,3123.0,71.63,223.74,3442.8
Chemical tanker,1845.46,66.67,208.25,2197.16
Vehicle carrier,5891.88,103.55,323.22,3810.2
Vehicle carrier,3115.69,106.88,336.09,1975.11
Gas carrier,1713.4,102.21,321.04,1738.9
Container ship,4526.391,88.11,276.4,4591.11
Container ship,5559.67,98.93,315.26,4190.35
Container ship,15765.4,251.13,782.97,3827.92
Container ship,5527.4,274.21,854.62,1287.33
Bulk carrier,666.04,67.79,212.96,785.5
Bulk carrier,716.11,50.43,157.37,1392.8
Bulk carrier,1214.93,86.8,270.5,1499.37
Bulk carrier,372.42,79.27,248.99,441.0
Bulk carrier,587.36,80.03,249.6,618.5
Bulk carrier,826.02,73.03,228.34,1024.97
Bulk carrier,1349.0,85.42,266.67,1538.1
Bulk carrier,1450.06228,81.86,256.14,1460.4
Oil tanker,2448.5,81.32,254.43,2567.0
Passenger ship,26156.87,376.37,1033.74,5512.3
Passenger ship,22429.41,398.96,1076.67,5120.07
Passenger ship,24317.74,332.87,928.86,5278.3
Passenger ship,24519.06,346.9,957.65,4776.8
LNG carrier,9226.92,183.9,485.96,3113.14
Bulk carrier,1346.78,78.07,244.97,1783.94
Bulk carrier,197.15,79.02,247.74,237.1
Vehicle carrier,6371.5,153.53,479.15,2471.48
Vehicle carrier,1654.72,108.51,342.55,1204.78
Bulk carrier,1018.0,89.1,278.6,1060.0
Bulk carrier,1000.542,81.03,253.93,1126.8
Bulk carrier,484.51,89.36,282.2,513.5
Bulk carrier,769.513,90.45,286.13,731.0
Bulk carrier,1623.32,82.77,259.23,1675.84
Bulk carrier,1214.56,77.17,240.6,1762.5
Bulk carrier,1178.105,59.13,184.89,1719.9
Vehicle carrier,6563.72,107.39,335.77,3903.9
Vehicle carrier,4909.6,110.66,346.28,2913.18
Vehicle carrier,3260.9,111.33,347.98,1765.1
Vehicle carrier,4211.1975,119.05,372.59,2317.19
Vehicle carrier,7795.098,115.0,359.54,4328.05
Bulk carrier,1752.0,65.81,207.26,2331.5
Bulk carrier,519.58,66.94,212.52,678.3
Oil tanker,1476.1,126.42,400.5,1043.6
Ro-pax ship,18138.83,212.78,613.41,3664.18
LNG carrier,5168.86,61.69,166.9,6660.17
Bulk carrier,2558.25896,81.72,256.46,2768.8
Bulk carrier,3137.465,81.04,255.06,4083.5
Oil tanker,3365.88,192.79,606.56,2138.83
Oil tanker,5080.49,123.62,386.71,3910.97
Container ship,28754.78,313.71,977.45,5487.12
Container ship,30519.96,300.29,935.74,6173.32
Container ship,29220.3,300.03,935.2,5816.86
Container ship,29419.18,319.04,994.6,5738.32
Container ship,31156.54,296.98,925.68,6341.14
Container ship,31449.03,314.84,981.27,5938.8
Container ship,31304.6,298.02,928.9,6358.5
Container ship,32253.09,318.98,994.47,6208.0
Passenger ship,13596.19,271.53,846.79,3818.03
Passenger ship,12800.53,274.03,854.41,3651.0
Oil tanker,5482.94,107.88,338.24,6755.5
Bulk carrier,1010.862,62.83,197.39,1374.25
Oil tanker,1762.9,188.46,591.97,754.3
Oil tanker,2796.889,193.5,603.72,1373.83
Oil tanker,5764.398,138.13,435.25,6017.99
Bulk carrier,632.46,87.33,275.65,700.4
Bulk carrier,1252.86856,84.81,264.68,1256.25
Oil tanker,4699.91,137.57,431.07,3132.9
Oil tanker,4106.34,137.06,428.9,2835.1
Oil tanker,4098.4,136.5,427.24,2687.73
Vehicle carrier,5570.4,106.08,331.72,3314.9
Vehicle carrier,4162.327,114.58,358.31,2391.8
Vehicle carrier,6131.729,111.3,348.13,3565.47
Container ship,21030.57,255.0,794.25,5004.75
Container ship,11369.54268,270.06,834.31,2865.85
Container ship,7835.12514,289.61,882.74,1685.25
Container ship,19811.651,245.6,765.09,5133.05
Container ship,23042.79667,255.3,795.25,5530.92
Container ship,26844.25833,278.74,868.39,5982.76
Container ship,13743.54,310.4,967.26,2947.37
Container ship,15265.93652,298.37,929.52,3125.28
Container ship,20473.95,252.76,787.31,4817.05
Oil tanker,2937.426,167.22,521.74,1675.98
Oil tanker,214.56,147.28,472.19,133.2
Oil tanker,6240.8,141.52,443.26,5110.58
Oil tanker,4754.47,121.49,380.27,3632.9
Other ship types,3718.12,73.83,232.0,3880.8
Other ship types,3118.41,66.37,207.96,3388.93
Other ship types,1769.0,69.78,219.0,2003.5
Other ship types,3999.89,69.34,217.67,4344.7
Container ship,14476.25,268.65,837.04,3672.2
Container ship,15651.74,293.2,913.42,3654.2
Container ship,11955.28,280.62,874.09,2876.4
Container ship,12638.01,301.42,939.91,2722.4
Container ship,14024.22,289.61,903.69,3289.3
Bulk carrier,647.16279,102.33,320.0,554.13
Bulk carrier,1948.81,105.21,328.58,1735.41
Oil tanker,811.28,84.15,263.09,767.0
Oil tanker,820.13,85.84,268.78,793.42
Oil tanker,770.87,88.93,277.86,729.72
Oil tanker,2208.59,115.49,364.6,1651.6
Oil tanker,1048.52,118.21,373.01,704.5
Oil tanker,11243.3,135.89,428.62,6972.9
Oil tanker,5567.2,136.43,430.16,3749.9
Bulk carrier,2039.337,84.09,262.41,2100.06
Bulk carrier,208.44186,78.72,246.59,230.74
Bulk carrier,281.35709,72.71,227.48,342.0
Oil tanker,2584.05,72.41,227.92,3059.09
Oil tanker,441.4,68.46,213.53,564.2
Oil tanker,818.92,109.55,343.7,689.5
Oil tanker,2460.64,71.99,225.22,2898.42
Oil tanker,2724.97,78.42,246.26,3001.88
Oil tanker,988.08,80.98,255.43,1020.1
Chemical tanker,982.6,66.04,206.06,1718.19
Container ship,27693.03083,324.13,1010.16,4784.07
Container ship,27089.42842,331.91,1034.47,4536.8
Container ship,27113.65057,343.87,1072.18,4903.0
Container ship,25258.26,334.53,1042.92,4353.08
Container ship,4457.26794,120.01,378.09,3402.86
Container ship,5628.99656,103.82,324.43,4343.13
Oil tanker,5917.09,131.15,411.15,5303.82
Oil tanker,2498.22,124.73,389.9,3260.88
Oil tanker,5315.65,133.52,420.01,4592.8
Oil tanker,3827.49,141.65,445.56,3392.88
Gas carrier,2016.114,78.61,245.65,2737.57
Oil tanker,3051.19,132.0,414.63,2114.88
Oil tanker,1826.022,117.69,367.59,1326.0
Oil tanker,3279.895,114.15,357.01,2512.9
Oil tanker,3075.505,112.21,350.24,2362.0
Bulk carrier,888.21831,76.26,239.53,1132.1
Oil tanker,4709.034,133.38,416.6,3358.52
General cargo ship,74.34,29.54,93.4,376.81
Oil tanker,1763.3,161.24,503.89,987.98
Oil tanker,2605.3,98.65,308.57,2245.5
Oil tanker,694.81,76.14,238.75,716.7
Oil tanker,2499.32089,90.67,286.07,2249.2
Chemical tanker,2767.62,92.56,291.3,2415.5
Chemical tanker,84.54142,70.41,219.33,96.1
Oil tanker,3433.4,132.91,416.48,2285.15
Refrigerated cargo carrier,312.301,152.05,475.29,199.3
Oil tanker,4640.89585,228.91,715.72,3253.66
Oil tanker,2282.4,251.07,784.58,1131.0
Oil tanker,2624.0,204.86,640.81,1020.86
Oil tanker,1280.94,207.49,649.51,683.0
Chemical tanker,416.163,52.32,164.81,612.38
Gas carrier,1659.070798,66.06,207.75,2094.17
Other ship types,548.46,70.13,220.16,703.67
Ro-ro ship,12810.73,156.23,491.41,5334.17
Ro-ro ship,12335.08,151.03,475.14,5422.82
Oil tanker,1370.973,81.79,255.99,1313.2
Chemical tanker,1564.36,101.56,317.94,1636.1
Oil tanker,9115.658,187.62,588.5,4064.18
Gas carrier,405.0,95.12,300.65,331.0
Gas carrier,1308.34,60.3,193.34,1848.97
Container ship,7973.53,288.63,900.66,1706.5
Container ship,31083.03,305.72,952.81,6182.25
Container ship,25780.81,287.25,897.52,5762.09
Other ship types,3660.04,71.68,225.12,3894.67
Other ship types,1689.82,71.96,225.24,1863.87
Gas carrier,2819.24,76.26,240.1,2748.8
Bulk carrier,410.04,64.68,203.88,559.54
Bulk carrier,919.4,69.12,217.92,1284.0
Gas carrier,372.1,101.92,318.03,248.22
Oil tanker,1636.61,67.74,213.52,2082.4
Chemical tanker,2818.385,78.27,247.3,3395.35
Chemical tanker,3735.58,67.62,210.69,4497.5
Chemical tanker,2652.449,66.1,206.69,3129.31
Chemical tanker,1054.3,75.75,237.22,1469.32
Chemical tanker,521.84447,78.92,249.33,604.8
Chemical tanker,1062.18,69.28,216.43,1467.7
Bulk carrier,866.86985,104.78,331.61,1238.0
Bulk carrier,464.31,71.81,225.12,578.0
Bulk carrier,2581.64,74.7,234.42,3057.0
Oil tanker,3922.057,133.9,418.57,3050.67
Oil tanker,4746.309,149.07,466.86,4433.51
Oil tanker,1842.55,110.07,344.14,1343.6
Bulk carrier,1157.9,61.13,192.6,1691.76
Oil tanker,1027.49,121.64,381.06,743.62
Chemical tanker,898.23479,82.39,259.76,904.2
Chemical tanker,1388.975,63.09,197.78,2064.8
Chemical tanker,1014.16,59.51,186.2,1258.1
LNG carrier,3415.04193,190.08,510.05,1146.7
Gas carrier,1397.8,129.17,404.58,672.7
Oil tanker,2000.25,193.52,606.18,874.9
Refrigerated cargo carrier,234.4,47.35,147.49,485.86
Refrigerated cargo carrier,1001.45,49.77,154.99,2184.03
Oil tanker,857.2,192.72,607.74,798.4
Oil tanker,5716.71,113.8,358.54,4196.19
Oil tanker,486.7,106.17,333.18,354.0
Oil tanker,44.3,109.93,346.97,55.0
General cargo ship,1401.35,69.73,219.32,1995.3
Bulk carrier,590.96,59.73,186.38,852.0
Bulk carrier,912.33,64.07,186.56,1486.8
General cargo ship,60.06,63.62,198.16,72.9
General cargo ship,817.95,84.01,262.26,1004.7
Oil tanker,2858.34,89.04,280.11,2381.35
Oil tanker,473.7,79.03,247.84,531.34
Bulk carrier,405.596,65.9,207.62,512.6
Oil tanker,2824.33,128.38,410.15,2784.56
Oil tanker,1244.14,93.19,291.43,1202.2
Oil tanker,2709.5,176.16,550.9,1480.08
Bulk carrier,1500.41795,82.73,259.21,1996.75
Oil tanker,2027.79,127.28,398.45,1434.46
Oil tanker,4239.85,134.78,421.46,2853.3
Gas carrier,2227.35,78.38,245.48,2701.5
Oil tanker,3869.4,143.15,448.11,2620.14
LNG carrier,13971.3,190.13,533.53,5694.4
Bulk carrier,954.67,56.76,177.94,1417.7
Gas carrier,1218.57,117.08,365.93,704.07
Oil tanker,1944.39816,136.54,432.17,1247.2
Oil tanker,4129.4,133.61,417.82,2633.03
Bulk carrier,1364.27,63.01,198.02,1969.8
Bulk carrier,346.03,73.73,233.14,404.63
Ro-pax ship,11288.08,122.75,393.53,3291.75
Gas carrier,1189.66,115.17,361.12,753.67
Oil tanker,2206.65,72.42,227.74,2586.0
Passenger ship,195.41,77.63,248.87,368.1
Oil tanker,1942.7,105.17,329.35,1972.87
Bulk carrier,1011.0,70.43,222.68,1397.5
Chemical tanker,2064.03,95.5,302.08,1961.3
Chemical tanker,1416.2,99.52,314.84,1291.7
Chemical tanker,295.4,67.63,214.72,398.2
Container ship,7072.5,253.86,791.2,1814.4
Oil tanker,6812.88,112.1,350.72,5671.7
Oil tanker,3864.18,86.33,270.74,4229.6
Oil tanker,1618.27,77.91,245.36,1855.09
Oil tanker,1404.75,82.77,259.82,1420.41
General cargo ship,436.03,81.74,258.65,465.5
Oil tanker,603.7,83.95,264.49,682.4
Oil tanker,2432.751,47.99,149.79,4622.8
Oil tanker,1757.69,98.0,305.72,1561.7
Oil tanker,754.59,99.93,312.82,629.2
Oil tanker,4722.08,120.12,375.46,3770.5
Oil tanker,7849.828,117.5,369.71,6297.22
Oil tanker,222.37,121.26,383.2,216.0
Oil tanker,8290.555,123.65,376.27,6431.94
Oil tanker,6561.007,132.89,406.77,4513.51
Oil tanker,2166.8,123.36,385.87,1594.0
Oil tanker,3563.792,128.12,400.52,2460.3
Oil tanker,2742.914,110.91,347.31,2118.05
Oil tanker,1865.85,151.22,473.5,1422.6
Bulk carrier,1779.85,34.94,112.0,5579.43
Container ship,27975.4,285.4,889.79,6052.94
Container ship,24423.01,300.46,937.85,5089.45
Container ship,21941.14,315.43,983.03,4298.0
Container ship,25601.44,300.79,937.83,5196.24
Container ship,23633.61,296.98,925.97,4959.45
Passenger ship,24381.83,426.82,1330.59,3480.13
Gas carrier,1999.598,116.07,363.7,1245.7
Refrigerated cargo carrier,1658.03,46.34,145.43,3894.98
Refrigerated cargo carrier,515.83,52.99,166.6,1326.73
Refrigerated cargo carrier,325.922,60.91,191.74,1069.92
Refrigerated cargo carrier,679.072,43.98,138.05,2964.78
Bulk carrier,1527.71,88.07,274.81,1739.25
Passenger ship (Cruise Passenger ship),5727.91,220.1,686.86,2084.45
Vehicle carrier,6845.273,110.37,345.15,4068.88
Vehicle carrier,6893.645,113.27,354.06,3823.53
Oil tanker,2920.1,116.96,364.8,2092.0
Bulk carrier,594.33404,61.65,192.83,834.8
Bulk carrier,778.72,54.53,169.9,1361.7
Bulk carrier,644.648,70.55,220.19,762.5
Gas carrier,3632.9,91.96,293.15,3537.7
Gas carrier,296.278815,67.56,212.91,386.6
Oil tanker,2925.21,119.89,379.65,2106.8
Oil tanker,5134.284,121.21,380.91,4558.92
LNG carrier,30.22404,195.32,525.47,9.41
Chemical tanker,866.4,58.15,181.68,1267.9
Chemical tanker,258.1,65.76,205.71,320.0
Chemical tanker,3022.93,70.6,222.2,3315.9
Oil tanker,6838.76,198.69,620.13,3070.69
Bulk carrier,82.86667,45.87,142.83,202.0
Oil tanker,2458.95,125.11,391.44,1677.7
Bulk carrier,1223.435,94.76,295.54,1075.5
Oil tanker,4525.53,140.25,437.76,2937.98
Passenger ship,1998.44,100.68,322.77,2160.12
Chemical tanker,1050.1,86.13,269.61,1017.8
Chemical tanker,2491.84,89.81,282.33,2462.2
Oil tanker,3010.71,80.27,251.04,3144.41
General cargo ship,2550.35,65.71,195.24,4005.02
General cargo ship,2630.41,62.82,184.88,4024.64
Refrigerated cargo carrier,611.4,45.26,141.74,2075.23
Oil tanker,486.6,64.26,200.95,583.0
Oil tanker,1092.64,74.32,233.43,1223.0
Chemical tanker,2774.888,78.24,245.28,3072.5
Chemical tanker,3448.04,75.31,241.44,4630.46
Chemical tanker,3172.3,68.69,220.21,4614.21
Refrigerated cargo carrier,1181.447,57.97,182.19,3158.55
Oil tanker,1493.43,129.87,405.6,867.0
Oil tanker,3457.7,107.13,334.25,2779.8
Oil tanker,280.74,167.41,528.38,178.0
Oil tanker,1037.28,72.06,227.38,1135.3
Oil tanker,2615.59,83.02,263.21,2690.0
Gas carrier,1504.64,64.01,200.79,1920.3
Gas carrier,5704.22,64.19,201.84,7173.57
Bulk carrier,1919.35716,66.76,211.07,2724.4
Chemical tanker,781.948584,72.89,228.56,888.7
Chemical tanker,784.51048,75.26,236.85,798.52
Chemical tanker,565.620343,68.94,217.7,616.9
Vehicle carrier,3579.91,124.84,389.59,1811.5
Vehicle carrier,1783.52,115.3,360.3,1054.8
Oil tanker,700.35,58.25,182.82,1018.1
Chemical tanker,1083.93,70.24,219.96,1259.5
Bulk carrier,1381.53,85.64,270.42,1367.2
Bulk carrier,811.97,78.38,245.08,894.5
Chemical tanker,2333.31384,78.07,244.68,2738.2
Chemical tanker,565.62,89.3,282.17,638.3
Oil tanker,807.2,94.44,296.41,719.9
Chemical tanker,222.79,50.43,161.69,606.43
Oil tanker,1054.61,41.22,129.12,2294.97
Oil tanker,5692.11,182.54,570.66,3020.7
Oil tanker,3503.91,182.87,571.31,1722.6
Oil tanker,2696.66,222.54,697.96,1242.3
Oil tanker,1914.4,54.36,171.16,3829.3
Bulk carrier,1365.784591,74.34,232.03,1552.48
Bulk carrier,1435.482527,72.4,226.29,1762.68
Bulk carrier,485.290349,73.69,233.02,570.0
Chemical tanker,1254.295,68.19,213.37,1455.3
Chemical tanker,2696.98,64.28,202.29,3503.52
Chemical tanker,3172.137,90.75,285.04,3057.63
Bulk carrier,716.27,77.36,242.94,883.8
Bulk carrier,495.508372,124.28,392.86,321.25
Ro-ro ship,9674.58,98.89,309.43,6690.9
Chemical tanker,2015.172,98.55,307.89,4247.9
Chemical tanker,1013.51,86.98,272.07,1712.67
Chemical tanker,2630.729,64.14,200.62,5672.11
Chemical tanker,3074.95757,52.46,164.61,5375.1
Chemical tanker,838.43,53.34,168.12,1407.2
Gas carrier,1692.994,48.45,152.79,3094.55
Gas carrier,1971.541,39.83,125.2,4066.43
Chemical tanker,2417.44,79.31,249.35,2609.62
Oil tanker,1436.1,148.88,467.75,808.52
Oil tanker,823.03,161.85,507.07,547.6
Oil tanker,2082.5,165.7,516.47,1225.48
Oil tanker,2562.14,113.49,355.21,1876.3
Oil tanker,1761.55,109.24,341.98,1545.5
Oil tanker,786.0,171.63,541.8,501.3
Bulk carrier,585.93,87.28,271.86,782.66
Bulk carrier,672.978,71.64,223.69,842.2
Chemical tanker,1765.648,78.65,246.17,1695.01
Gas carrier,3555.66,116.61,365.86,2165.48
Oil tanker,3761.76,120.57,377.91,3343.45
Bulk carrier,794.13,55.07,171.81,1341.2
Oil tanker,1576.15,84.38,266.86,1894.3
Oil tanker,2547.98,79.31,250.89,3223.2
Chemical tanker,3016.5,92.44,292.63,3772.8
Bulk carrier,74.95,34.7,109.8,422.4
Chemical tanker,986.32,107.43,340.23,843.93
Chemical tanker,3240.42,89.91,282.64,3143.72
Chemical tanker,1649.63,83.67,263.29,1621.76
Bulk carrier,854.812,67.12,211.82,1001.0
General cargo ship,211.99334,70.48,219.52,416.8
Bulk carrier,697.55,86.9,272.7,695.9
Bulk carrier,1102.78,61.7,193.56,1629.8
Bulk carrier,483.029,75.27,237.64,583.5
Oil tanker,845.5,119.9,378.91,698.0
Chemical tanker,1660.09,87.78,277.62,1516.4
Chemical tanker,841.7,92.29,292.32,826.9
Passenger ship,7226.79,368.79,1163.35,1170.07
Bulk carrier,691.95,73.12,229.49,879.1
Bulk carrier,605.2,69.65,217.48,753.1
Oil tanker,6249.96,121.08,380.87,6337.2
Oil tanker,5338.52,138.84,436.73,5729.89
Oil tanker,5027.0,133.86,421.35,4945.58
Oil tanker,5614.23,139.78,438.27,3739.53
Bulk carrier,951.0,82.31,256.96,982.0
Bulk carrier,1282.2,81.64,254.47,1477.0
Bulk carrier,945.9222,94.34,295.85,1145.66
Bulk carrier,1150.45,88.96,277.08,1129.8
Bulk carrier,1332.458,68.94,215.75,1933.1
Passenger ship,26895.32,374.16,1171.6,4503.67
Container ship,3170.26,109.68,344.91,1939.8
Container ship,3102.9,118.92,373.01,1626.82
Container ship,3140.15,108.67,341.39,1850.8
Oil tanker,313.6,57.63,179.9,468.78
Passenger ship,14480.97,177.95,555.25,5792.56
General cargo ship,1473.42,38.03,120.9,4599.76
Other ship types,977.88,132.17,419.36,2628.6
Other ship types,1703.79,108.39,340.46,1567.9
Oil tanker,2423.08,54.67,171.94,4593.21
Oil tanker,9076.5,132.04,418.01,6367.7
Oil tanker,8307.9,148.73,470.77,5468.2
Bulk carrier,304.76,86.41,271.04,339.0
Bulk carrier,382.07734,59.1,184.84,580.0
Passenger ship,24295.7,444.1,1387.38,3608.93
Passenger ship,24984.2,434.25,1353.96,3775.7
Oil tanker,2552.28,77.41,245.93,3200.0
Oil tanker,2352.54,78.04,248.02,2765.0
Container ship,4584.53,91.39,285.87,3478.58
Container ship,4140.72,85.99,269.16,3470.88
Container ship,4146.2,86.73,271.33,3524.04
Container ship,4523.03,89.82,280.69,3655.5
Oil tanker,10959.51,157.12,494.92,6984.83
Oil tanker,2382.71,162.56,506.53,1290.4
Oil tanker,2083.32,129.94,404.88,1501.1
Oil tanker,1154.98,79.55,240.59,1507.37
Oil tanker,2763.002,211.7,666.53,1774.78
Oil tanker,3041.6,145.8,454.64,1726.0
Bulk carrier,1053.941,86.08,268.97,966.3
Passenger ship (Cruise Passenger ship),16317.94,384.52,1199.71,3736.0
Chemical tanker,1229.68,60.1,189.05,1875.4
Chemical tanker,3476.249,89.04,279.21,3372.25
Chemical tanker,3624.722,82.76,259.63,3999.14
Chemical tanker,2567.08598,64.82,204.0,4706.0
Chemical tanker,3660.44156,83.56,262.01,3747.06
Chemical tanker,1436.16049,60.57,190.99,1816.95
Chemical tanker,1143.02,84.8,266.04,1205.66
Chemical tanker,2289.429,60.52,190.53,3190.82
Chemical tanker,737.07,65.91,209.58,885.5
Chemical tanker,350.46379,64.47,200.83,419.2
Chemical tanker,3308.76667,83.63,263.37,3331.13
Bulk carrier,656.54163,60.56,191.02,1032.8
Bulk carrier,1206.284,54.93,173.45,1914.46
Bulk carrier,668.143,60.64,192.14,1018.36
Bulk carrier,258.814,56.15,177.75,467.2
Bulk carrier,2721.92,55.75,174.84,4443.14
Passenger ship (Cruise Passenger ship),2051.83,347.61,1083.49,415.53
Passenger ship (Cruise Passenger ship),14817.36,346.79,1082.2,3244.92
Container ship,4888.7,193.2,605.05,1898.83
Container ship,8824.83149,202.13,634.18,3156.8
Container ship,3241.9,228.22,711.12,915.58
General cargo ship,2807.0,60.4,193.64,4406.0
Bulk carrier,606.167679,69.22,216.04,712.5
Bulk carrier,731.26,85.6,268.73,1141.52
Bulk carrier,1050.47,77.3,241.72,1813.3
Bulk carrier,701.04,72.59,226.08,868.0
Bulk carrier,2651.32,84.2,264.68,3135.7
Bulk carrier,1630.91,68.29,215.19,2192.1
Bulk carrier,2014.171,72.13,226.72,2682.8
General cargo ship,647.03,61.04,190.61,956.4
Oil tanker,1582.77,124.76,390.5,987.03
Chemical tanker,2465.37831,48.45,151.86,4549.84
Chemical tanker,1673.8,47.81,149.87,3000.36
Gas carrier,452.95,43.39,135.76,1247.88
Bulk carrier,2272.55,98.72,308.13,2998.7
Passenger ship,10313.02,227.92,729.26,3305.4
Passenger ship,743.6,385.32,1212.0,165.3
Ro-pax ship,11701.6,171.01,534.12,4282.98
Oil tanker,3879.55,147.62,462.94,2887.9
Oil tanker,6935.2,126.88,397.03,4999.99
Other ship types,1045.86,122.6,388.71,1097.02
Other ship types,2435.86,199.12,622.7,1266.5
Chemical tanker,2679.51,54.73,175.48,4953.94
Chemical tanker,2861.14,55.81,178.94,5177.95
Chemical tanker,2278.63,79.14,246.84,2245.0
Chemical tanker,2588.0,87.49,274.46,2892.0
Bulk carrier,1119.27222,72.36,226.23,1319.0
Bulk carrier,974.64,65.26,204.05,1398.0
General cargo ship,554.94,90.81,287.18,556.58
Bulk carrier,2021.05,70.15,220.44,2779.3
Bulk carrier,2662.9,71.13,222.37,3766.68
Other ship types,4861.4,68.15,213.5,5309.4
Ro-ro ship,9479.99,95.4,297.21,6328.8
Ro-ro ship,7873.45,121.5,379.15,4411.01
Ro-ro ship,7670.12,123.02,384.55,4224.37
Container ship,72.42,33.31,103.73,283.28
Oil tanker,670.756,160.0,511.02,336.2
Oil tanker,3527.72,133.76,422.93,2130.75
Chemical tanker,711.789,67.45,211.11,884.6
Gas carrier,761.1,124.68,389.32,400.3
Ro-ro ship,15158.2,121.29,377.82,7317.3
Ro-pax ship,29903.49,255.2,795.35,5963.74
Chemical tanker,2230.24,59.17,187.44,3532.9
Container ship,13427.8,161.01,504.08,5028.35
Container ship,13824.0,167.28,522.97,4960.39
Container ship,13937.5,163.74,512.21,5201.64
Container ship,13820.7,159.22,497.78,5109.92
Oil tanker,2108.3,107.9,337.65,1608.18
